t,Z_mpmath,kind,gap,norm_gap
10000000000001.3261718750,-3.029825440795e-03,min,,
10000000000167.9433593750,5.378308704887e-03,max,,
10000000000263.1484375000,-1.723236997067e-02,min,,
10000000000474.2500000000,-1.806841299480e-02,min,,
10000000000618.6503906250,-1.813984707273e-02,min,,
10000000000646.5800781250,1.690947003282e-02,max,,
10000000000918.1601562500,-1.957142169225e-02,min,,
10000000000944.3515625000,7.505203307499e-03,max,,
10000000000951.6191406250,1.773148715914e-02,max,,
10000000000997.9843750000,1.770600713262e-03,max,,
10000000001053.1269531250,3.714255458051e-03,max,,
10000000001111.1601562500,1.729482646759e-02,max,,
10000000001224.3652343750,1.764026201057e-02,max,,
10000000001234.7734375000,8.453571862466e-03,max,,
10000000001273.0839843750,1.575807559841e-02,max,,
10000000001414.3222656250,-1.556523866911e-02,min,,
10000000001424.7695312500,1.556281840971e-02,max,,
10000000001435.0371093750,1.567918718993e-02,max,,
10000000001488.3632812500,1.703397237194e-02,max,,
10000000001544.6386718750,1.239460857094e-02,max,,
10000000001584.9453125000,1.993351685390e-02,max,,
10000000001598.6582031250,5.067645485310e-03,max,,
10000000001695.8339843750,1.254618752636e-02,max,,
10000000001755.4003906250,1.962077340364e-02,max,,
10000000001831.5937500000,-1.169679163384e-02,min,,
10000000001941.5410156250,-1.787769387740e-02,min,,
10000000001958.0058593750,1.805657728170e-02,max,,
10000000001972.9746093750,-7.326992682913e-03,min,,
10000000002032.9531250000,-1.432687077471e-02,min,,
10000000002223.9531250000,-1.434923095755e-02,min,,
10000000002250.2089843750,-1.004796328369e-02,min,,
10000000002297.1484375000,-1.841240883915e-02,min,,
10000000002376.1621093750,1.601396100865e-03,max,1.05927672e-02,0.047366
10000000002402.0410156250,-1.858943320733e-02,min,,
10000000002541.4941406250,1.543505416415e-02,max,,
10000000002576.7734375000,6.732626962395e-03,max,,
10000000002660.9921875000,1.006831686118e-02,max,,
10000000002695.9667968750,6.965889399515e-03,max,,
10000000002723.5019531250,5.314186168087e-03,max,,
10000000002785.2089843750,-1.351826008095e-02,min,,
10000000002867.0488281250,-7.981054161796e-03,min,,
10000000002958.2460937500,-7.825090979555e-03,min,,
10000000002985.1542968750,1.907401335344e-02,max,,
10000000003101.1894531250,1.256238468222e-02,max,,
10000000003204.1562500000,-1.823625958291e-02,min,,
10000000003362.1894531250,-4.898784527392e-03,min,1.00212757e-02,0.044811
10000000003374.5664062500,9.948378776258e-03,max,,
10000000003438.7187500000,1.517247133190e-02,max,,
10000000003500.2148437500,1.314310470494e-02,max,,
10000000003593.1230468750,1.889688648490e-02,max,,
10000000003610.1718750000,1.356715097584e-02,max,,
10000000003628.8808593750,1.152142337591e-02,max,,
10000000003656.0136718750,-3.129175552722e-03,min,,
10000000003752.8652343750,1.496986909697e-02,max,,
10000000003754.5781250000,8.861906010054e-03,max,,
10000000003762.6816406250,1.724964319186e-02,max,,
10000000003764.7832031250,-2.727462582793e-03,min,,
10000000003766.0664062500,1.514648443037e-02,max,,
10000000003770.0722656250,-8.408030553510e-03,min,,
10000000003780.7460937500,5.168101309582e-03,max,,
10000000003846.3652343750,1.088637035983e-02,max,,
10000000003851.6601562500,1.595764257630e-02,max,,
10000000003862.4023437500,9.119922664370e-03,max,,
10000000003917.5625000000,1.505064916969e-02,max,,
10000000003935.6972656250,-9.342059242371e-03,min,,
10000000003965.0410156250,-1.592226827486e-02,min,,
10000000003989.3398437500,3.748192993763e-03,max,,
10000000004119.5742187500,1.104650737208e-02,max,,
10000000004198.2343750000,1.667908573850e-02,max,,
10000000004320.3281250000,3.534567496662e-03,max,,
10000000004381.0937500000,-1.647528003798e-02,min,,
10000000004397.5761718750,-3.807817768300e-03,min,,
10000000004455.6289062500,-1.829782777255e-02,min,,
10000000004534.2578125000,1.859465436236e-02,max,,
10000000004598.5195312500,1.763723316460e-02,max,,
10000000004601.2187500000,1.669087605341e-02,max,,
10000000004606.2753906250,7.568595656955e-03,max,,
10000000004737.0820312500,-1.167560455600e-02,min,,
10000000004931.8652343750,1.821101685290e-02,max,,
10000000004988.8144531250,-1.128240323443e-02,min,,
10000000005028.1992187500,-1.206419797948e-02,min,,
10000000005069.1640625000,1.408121763272e-02,max,,
10000000005229.4687500000,-9.975244951174e-03,min,,
10000000005280.5195312500,9.797029722898e-03,max,,
10000000005295.6406250000,-4.881175252064e-03,min,,
10000000005405.5078125000,7.582485514786e-03,max,,
10000000005421.4433593750,-1.158085323893e-02,min,,
10000000005452.4296875000,2.684495977038e-03,max,,
10000000005656.9199218750,4.329781608746e-03,max,,
10000000005730.7617187500,2.960227333654e-03,max,,
10000000005748.5117187500,1.551462232639e-02,max,,
10000000005777.1484375000,7.029931135639e-03,max,,
10000000005869.9589843750,-7.087102162649e-03,min,,
10000000006050.9902343750,-1.749157680419e-02,min,,
